url,ruta,categoria,is_final
https://www.6pm.com/boys-lacrosse-shoes/CK_XARC81wEYzO4BIOHuAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sneakers & Athletic Shoes,Cleats,Lacrosse Shoes,Boys",Boy's Lacrosse Shoes,True
https://www.6pm.com/boys-volleyball-shoes/CK_XARC81wEYy-4BINvuAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sneakers & Athletic Shoes,Athletic Shoes,Volleyball Shoes,Boys",Boy's Volleyball Shoes,True
https://www.6pm.com/boys-rain-boots/CK_XARCz1wEY1OwBwAEE4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Rain Boots,Boys",Boy's Rain Boots,True
https://www.6pm.com/boys-skate-shoes/CK_XARC81wEYy-4BIIXvAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sneakers & Athletic Shoes,Athletic Shoes,Skate Shoes,Boys",Boy's Skate Shoes,True
https://www.6pm.com/boys-soccer-shoes/CK_XARC81wEYzO4BIOLuAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sneakers & Athletic Shoes,Cleats,Soccer Shoes,Boys",Boy's Soccer Shoes,True
https://www.6pm.com/boys-golf-shoes/CK_XARC81wEYy-4BINbuAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sneakers & Athletic Shoes,Athletic Shoes,Golf Shoes,Boys",Boy's Golf Shoes,True
https://www.6pm.com/boys-water-shoes/CK_XARC81wEYy-4BIN3uAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sneakers & Athletic Shoes,Athletic Shoes,Water Shoes,Boys",Boy's Water Shoes,True
https://www.6pm.com/boys-tennis-shoes/CK_XARC81wEYy-4BINnuAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sneakers & Athletic Shoes,Athletic Shoes,Tennis Shoes,Boys",Boy's Tennis Shoes,True
https://www.6pm.com/boys-basketball-shoes/CK_XARC81wEYy-4BINLuAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sneakers & Athletic Shoes,Athletic Shoes,Basketball Shoes,Boys",Boy's Basketball Shoes,True
https://www.6pm.com/boys-shearling-style-boots/CK_XARCz1wEY1ewBegKOBYIBA6TsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Shearling Style Boots,Boys,5 Big Kid",Boy's Size 5 Big Kid Shearling Style Boots,True
https://www.6pm.com/boys-shearling-style-boots/CK_XARCz1wEY1ewBegKOBYIBA6LsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Shearling Style Boots,Boys,4 Big Kid",Boy's Size 4 Big Kid Shearling Style Boots,True
https://www.6pm.com/boys-football-shoes/CK_XARC81wEYzO4BIODuAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sneakers & Athletic Shoes,Cleats,Football Shoes,Boys",Boy's Football Shoes,True
https://www.6pm.com/boys-western-boots/CK_XARCz1wEYyewBIMvsAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Cowboy Boots,Western Boots,Boys",Boy's Western Boots,True
https://www.6pm.com/boys-roper-boots/CK_XARCz1wEYyewBIMrsAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Cowboy Boots,Roper Boots,Boys",Boy's Roper Boots,True
https://www.6pm.com/boys-ankle-boots-and-booties/CK_XARCz1wEYxuwBegKOBYIBA6bsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Ankle Boots and Booties,Boys,6 Big Kid",Boy's Size 6 Big Kid Ankle Boots and Booties,True
https://www.6pm.com/boys-ankle-boots-and-booties/CK_XARCz1wEYxuwBegKOBYIBA6TsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Ankle Boots and Booties,Boys,5 Big Kid",Boy's Size 5 Big Kid Ankle Boots and Booties,True
https://www.6pm.com/boys-ankle-boots-and-booties/CK_XARCz1wEYxuwBegKOBYIBA6LsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Ankle Boots and Booties,Boys,4 Big Kid",Boy's Size 4 Big Kid Ankle Boots and Booties,True
https://www.6pm.com/boys-ankle-boots-and-booties/CK_XARCz1wEYxuwBegKOBYIBA6DsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Ankle Boots and Booties,Boys,3 Little Kid",Boy's Size 3 Little Kid Ankle Boots and Booties,True
https://www.6pm.com/boys-chelsea-boots/CK_XARCz1wEYx-wBegKOBYIBA6jsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Chelsea Boots,Boys,7 Big Kid",Boy's Size 7 Big Kid Chelsea Boots,True
https://www.6pm.com/boys-chelsea-boots/CK_XARCz1wEYx-wBegKOBYIBA6bsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Chelsea Boots,Boys,6 Big Kid",Boy's Size 6 Big Kid Chelsea Boots,True
